,sales,date,region
0,1638,2/6/2018,north
1,1647,2/6/2018,south
2,1731,2/6/2018,east
3,1557,2/6/2018,west
4,1587,2/7/2018,north
5,1698,2/7/2018,south
6,1542,2/7/2018,east
7,1635,2/7/2018,west
8,1602,2/8/2018,north
9,1536,2/8/2018,south
10,1503,2/8/2018,east
11,1701,2/8/2018,west
12,1758,2/9/2018,north
13,1662,2/9/2018,south
14,1782,2/9/2018,east
15,1515,2/9/2018,west
16,1662,2/10/2018,north
17,1557,2/10/2018,south
18,1650,2/10/2018,east
19,1674,2/10/2018,west
20,1554,2/11/2018,north
21,1587,2/11/2018,south
22,1563,2/11/2018,east
23,1764,2/11/2018,west
24,1758,2/12/2018,north
25,1608,2/12/2018,south
26,1569,2/12/2018,east
27,1653,2/12/2018,west
28,1572,2/13/2018,north
29,1716,2/13/2018,south
30,1773,2/13/2018,east
31,1725,2/13/2018,west
32,1767,2/14/2018,north
33,1710,2/14/2018,south
34,1698,2/14/2018,east
35,1512,2/14/2018,west
36,1746,2/15/2018,north
37,1734,2/15/2018,south
38,1524,2/15/2018,east
39,1614,2/15/2018,west
40,1578,2/16/2018,north
41,1782,2/16/2018,south
42,1527,2/16/2018,east
43,1752,2/16/2018,west
44,1785,2/17/2018,north
45,1689,2/17/2018,south
46,1641,2/17/2018,east
47,1575,2/17/2018,west
48,1644,2/18/2018,north
49,1674,2/18/2018,south
50,1551,2/18/2018,east
51,1737,2/18/2018,west
52,1563,2/19/2018,north
53,1647,2/19/2018,south
54,1605,2/19/2018,east
55,1539,2/19/2018,west
56,1698,2/20/2018,north
57,1575,2/20/2018,south
58,1500,2/20/2018,east
59,1551,2/20/2018,west
60,1737,2/21/2018,north
61,1542,2/21/2018,south
62,1665,2/21/2018,east
63,1548,2/21/2018,west
64,1635,2/22/2018,north
65,1632,2/22/2018,south
66,1668,2/22/2018,east
67,1764,2/22/2018,west
68,1533,2/23/2018,north
69,1563,2/23/2018,south
70,1641,2/23/2018,east
71,1773,2/23/2018,west
72,1629,2/24/2018,north
73,1698,2/24/2018,south
74,1725,2/24/2018,east
75,1722,2/24/2018,west
76,1596,2/25/2018,north
77,1710,2/25/2018,south
78,1635,2/25/2018,east
79,1659,2/25/2018,west
80,1686,2/26/2018,north
81,1533,2/26/2018,south
82,1524,2/26/2018,east
83,1530,2/26/2018,west
84,1665,2/27/2018,north
85,1695,2/27/2018,south
86,1578,2/27/2018,east
87,1620,2/27/2018,west
88,1767,2/28/2018,north
89,1593,2/28/2018,south
90,1743,2/28/2018,east
91,1557,2/28/2018,west
92,1668,3/1/2018,north
93,1782,3/1/2018,south
94,1527,3/1/2018,east
95,1668,3/1/2018,west
96,1635,3/2/2018,north
97,1569,3/2/2018,south
98,1746,3/2/2018,east
99,1773,3/2/2018,west
100,1539,3/3/2018,north
101,1500,3/3/2018,south
102,1569,3/3/2018,east
103,1557,3/3/2018,west
104,1773,3/4/2018,north
105,1644,3/4/2018,south
106,1614,3/4/2018,east
107,1674,3/4/2018,west
108,1533,3/5/2018,north
109,1653,3/5/2018,south
110,1557,3/5/2018,east
111,1746,3/5/2018,west
112,1719,3/6/2018,north
113,1719,3/6/2018,south
114,1659,3/6/2018,east
115,1800,3/6/2018,west
116,1581,3/7/2018,north
117,1602,3/7/2018,south
118,1608,3/7/2018,east
119,1650,3/7/2018,west
120,1611,3/8/2018,north
121,1530,3/8/2018,south
122,1698,3/8/2018,east
123,1668,3/8/2018,west
124,1746,3/9/2018,north
125,1524,3/9/2018,south
126,1506,3/9/2018,east
127,1704,3/9/2018,west
128,1788,3/10/2018,north
129,1719,3/10/2018,south
130,1746,3/10/2018,east
131,1584,3/10/2018,west
132,1692,3/11/2018,north
133,1635,3/11/2018,south
134,1608,3/11/2018,east
135,1590,3/11/2018,west
136,1599,3/12/2018,north
137,1518,3/12/2018,south
138,1602,3/12/2018,east
139,1659,3/12/2018,west
140,1644,3/13/2018,north
141,1611,3/13/2018,south
142,1554,3/13/2018,east
143,1515,3/13/2018,west
144,1515,3/14/2018,north
145,1632,3/14/2018,south
146,1512,3/14/2018,east
147,1776,3/14/2018,west
148,1677,3/15/2018,north
149,1503,3/15/2018,south
150,1605,3/15/2018,east
151,1647,3/15/2018,west
152,1506,3/16/2018,north
153,1737,3/16/2018,south
154,1590,3/16/2018,east
155,1767,3/16/2018,west
156,1593,3/17/2018,north
157,1614,3/17/2018,south
158,1710,3/17/2018,east
159,1662,3/17/2018,west
160,1650,3/18/2018,north
161,1755,3/18/2018,south
162,1698,3/18/2018,east
163,1659,3/18/2018,west
164,1683,3/19/2018,north
165,1509,3/19/2018,south
166,1500,3/19/2018,east
167,1545,3/19/2018,west
168,1647,3/20/2018,north
169,1614,3/20/2018,south
170,1629,3/20/2018,east
171,1677,3/20/2018,west
172,1743,3/21/2018,north
173,1569,3/21/2018,south
174,1593,3/21/2018,east
175,1578,3/21/2018,west
176,1578,3/22/2018,north
177,1581,3/22/2018,south
178,1653,3/22/2018,east
179,1578,3/22/2018,west
180,1761,3/23/2018,north
181,1611,3/23/2018,south
182,1749,3/23/2018,east
183,1764,3/23/2018,west
184,1716,3/24/2018,north
185,1710,3/24/2018,south
186,1800,3/24/2018,east
187,1728,3/24/2018,west
188,1743,3/25/2018,north
189,1764,3/25/2018,south
190,1740,3/25/2018,east
191,1707,3/25/2018,west
192,1509,3/26/2018,north
193,1641,3/26/2018,south
194,1533,3/26/2018,east
195,1752,3/26/2018,west
196,1767,3/27/2018,north
197,1590,3/27/2018,south
198,1533,3/27/2018,east
199,1704,3/27/2018,west
200,1671,3/28/2018,north
201,1527,3/28/2018,south
202,1524,3/28/2018,east
203,1629,3/28/2018,west
204,1722,3/29/2018,north
205,1557,3/29/2018,south
206,1686,3/29/2018,east
207,1779,3/29/2018,west
208,1734,3/30/2018,north
209,1776,3/30/2018,south
210,1554,3/30/2018,east
211,1725,3/30/2018,west
212,1617,3/31/2018,north
213,1635,3/31/2018,south
214,1605,3/31/2018,east
215,1785,3/31/2018,west
216,1761,4/1/2018,north
217,1530,4/1/2018,south
218,1710,4/1/2018,east
219,1506,4/1/2018,west
220,1509,4/2/2018,north
221,1797,4/2/2018,south
222,1662,4/2/2018,east
223,1530,4/2/2018,west
224,1767,4/3/2018,north
225,1767,4/3/2018,south
226,1614,4/3/2018,east
227,1533,4/3/2018,west
228,1767,4/4/2018,north
229,1761,4/4/2018,south
230,1566,4/4/2018,east
231,1623,4/4/2018,west
232,1506,4/5/2018,north
233,1512,4/5/2018,south
234,1692,4/5/2018,east
235,1749,4/5/2018,west
236,1701,4/6/2018,north
237,1752,4/6/2018,south
238,1632,4/6/2018,east
239,1515,4/6/2018,west
240,1725,4/7/2018,north
241,1611,4/7/2018,south
242,1788,4/7/2018,east
243,1617,4/7/2018,west
244,1656,4/8/2018,north
245,1674,4/8/2018,south
246,1557,4/8/2018,east
247,1701,4/8/2018,west
248,1686,4/9/2018,north
249,1782,4/9/2018,south
250,1641,4/9/2018,east
251,1557,4/9/2018,west
252,1686,4/10/2018,north
253,1527,4/10/2018,south
254,1698,4/10/2018,east
255,1728,4/10/2018,west
256,1671,4/11/2018,north
257,1527,4/11/2018,south
258,1581,4/11/2018,east
259,1764,4/11/2018,west
260,1653,4/12/2018,north
261,1626,4/12/2018,south
262,1782,4/12/2018,east
263,1749,4/12/2018,west
264,1539,4/13/2018,north
265,1752,4/13/2018,south
266,1674,4/13/2018,east
267,1749,4/13/2018,west
268,1569,4/14/2018,north
269,1794,4/14/2018,south
270,1674,4/14/2018,east
271,1638,4/14/2018,west
272,1515,4/15/2018,north
273,1527,4/15/2018,south
274,1602,4/15/2018,east
275,1653,4/15/2018,west
276,1602,4/16/2018,north
277,1707,4/16/2018,south
278,1548,4/16/2018,east
279,1527,4/16/2018,west
280,1599,4/17/2018,north
281,1728,4/17/2018,south
282,1704,4/17/2018,east
283,1539,4/17/2018,west
284,1545,4/18/2018,north
285,1797,4/18/2018,south
286,1515,4/18/2018,east
287,1719,4/18/2018,west
288,1713,4/19/2018,north
289,1674,4/19/2018,south
290,1767,4/19/2018,east
291,1767,4/19/2018,west
292,1668,4/20/2018,north
293,1620,4/20/2018,south
294,1677,4/20/2018,east
295,1509,4/20/2018,west
296,1683,4/21/2018,north
297,1743,4/21/2018,south
298,1644,4/21/2018,east
299,1578,4/21/2018,west
300,1572,4/22/2018,north
301,1545,4/22/2018,south
302,1557,4/22/2018,east
303,1626,4/22/2018,west
304,1710,4/23/2018,north
305,1659,4/23/2018,south
306,1665,4/23/2018,east
307,1521,4/23/2018,west
308,1503,4/24/2018,north
309,1650,4/24/2018,south
310,1689,4/24/2018,east
311,1743,4/24/2018,west
312,1623,4/25/2018,north
313,1503,4/25/2018,south
314,1758,4/25/2018,east
315,1557,4/25/2018,west
316,1713,4/26/2018,north
317,1734,4/26/2018,south
318,1740,4/26/2018,east
319,1563,4/26/2018,west
320,1716,4/27/2018,north
321,1791,4/27/2018,south
322,1674,4/27/2018,east
323,1716,4/27/2018,west
324,1632,4/28/2018,north
325,1641,4/28/2018,south
326,1584,4/28/2018,east
327,1590,4/28/2018,west
328,1713,4/29/2018,north
329,1593,4/29/2018,south
330,1740,4/29/2018,east
331,1638,4/29/2018,west
332,1653,4/30/2018,north
333,1590,4/30/2018,south
334,1593,4/30/2018,east
335,1602,4/30/2018,west
336,1785,5/1/2018,north
337,1764,5/1/2018,south
338,1506,5/1/2018,east
339,1536,5/1/2018,west
340,1623,5/2/2018,north
341,1674,5/2/2018,south
342,1791,5/2/2018,east
343,1653,5/2/2018,west
344,1785,5/3/2018,north
345,1569,5/3/2018,south
346,1500,5/3/2018,east
347,1770,5/3/2018,west
348,1653,5/4/2018,north
349,1590,5/4/2018,south
350,1671,5/4/2018,east
351,1629,5/4/2018,west
352,1578,5/5/2018,north
353,1665,5/5/2018,south
354,1575,5/5/2018,east
355,1587,5/5/2018,west
356,1674,5/6/2018,north
357,1785,5/6/2018,south
358,1719,5/6/2018,east
359,1617,5/6/2018,west
360,1794,5/7/2018,north
361,1563,5/7/2018,south
362,1728,5/7/2018,east
363,1740,5/7/2018,west
364,1617,5/8/2018,north
365,1650,5/8/2018,south
366,1728,5/8/2018,east
367,1635,5/8/2018,west
368,1584,5/9/2018,north
369,1647,5/9/2018,south
370,1551,5/9/2018,east
371,1512,5/9/2018,west
372,1737,5/10/2018,north
373,1551,5/10/2018,south
374,1515,5/10/2018,east
375,1716,5/10/2018,west
376,1746,5/11/2018,north
377,1677,5/11/2018,south
378,1584,5/11/2018,east
379,1617,5/11/2018,west
380,1743,5/12/2018,north
381,1533,5/12/2018,south
382,1521,5/12/2018,east
383,1578,5/12/2018,west
384,1545,5/13/2018,north
385,1713,5/13/2018,south
386,1665,5/13/2018,east
387,1644,5/13/2018,west
388,1776,5/14/2018,north
389,1560,5/14/2018,south
390,1644,5/14/2018,east
391,1503,5/14/2018,west
392,1800,5/15/2018,north
393,1758,5/15/2018,south
394,1701,5/15/2018,east
395,1671,5/15/2018,west
396,1593,5/16/2018,north
397,1617,5/16/2018,south
398,1626,5/16/2018,east
399,1629,5/16/2018,west
400,1728,5/17/2018,north
401,1506,5/17/2018,south
402,1590,5/17/2018,east
403,1626,5/17/2018,west
404,1782,5/18/2018,north
405,1572,5/18/2018,south
406,1539,5/18/2018,east
407,1509,5/18/2018,west
408,1788,5/19/2018,north
409,1713,5/19/2018,south
410,1626,5/19/2018,east
411,1629,5/19/2018,west
412,1548,5/20/2018,north
413,1716,5/20/2018,south
414,1752,5/20/2018,east
415,1638,5/20/2018,west
416,1575,5/21/2018,north
417,1671,5/21/2018,south
418,1626,5/21/2018,east
419,1572,5/21/2018,west
420,1572,5/22/2018,north
421,1569,5/22/2018,south
422,1581,5/22/2018,east
423,1521,5/22/2018,west
424,1641,5/23/2018,north
425,1692,5/23/2018,south
426,1713,5/23/2018,east
427,1563,5/23/2018,west
428,1524,5/24/2018,north
429,1533,5/24/2018,south
430,1695,5/24/2018,east
431,1533,5/24/2018,west
432,1599,5/25/2018,north
433,1665,5/25/2018,south
434,1713,5/25/2018,east
435,1644,5/25/2018,west
436,1776,5/26/2018,north
437,1530,5/26/2018,south
438,1650,5/26/2018,east
439,1512,5/26/2018,west
440,1629,5/27/2018,north
441,1707,5/27/2018,south
442,1521,5/27/2018,east
443,1761,5/27/2018,west
444,1755,5/28/2018,north
445,1659,5/28/2018,south
446,1800,5/28/2018,east
447,1539,5/28/2018,west
448,1713,5/29/2018,north
449,1752,5/29/2018,south
450,1629,5/29/2018,east
451,1635,5/29/2018,west
452,1674,5/30/2018,north
453,1701,5/30/2018,south
454,1614,5/30/2018,east
455,1794,5/30/2018,west
456,1725,5/31/2018,north
457,1659,5/31/2018,south
458,1536,5/31/2018,east
459,1620,5/31/2018,west
460,1794,6/1/2018,north
461,1623,6/1/2018,south
462,1665,6/1/2018,east
463,1671,6/1/2018,west
464,1752,6/2/2018,north
465,1707,6/2/2018,south
466,1797,6/2/2018,east
467,1668,6/2/2018,west
468,1596,6/3/2018,north
469,1503,6/3/2018,south
470,1578,6/3/2018,east
471,1680,6/3/2018,west
472,1608,6/4/2018,north
473,1683,6/4/2018,south
474,1572,6/4/2018,east
475,1656,6/4/2018,west
476,1713,6/5/2018,north
477,1698,6/5/2018,south
478,1557,6/5/2018,east
479,1782,6/5/2018,west
480,1695,6/6/2018,north
481,1680,6/6/2018,south
482,1761,6/6/2018,east
483,1659,6/6/2018,west
484,1518,6/7/2018,north
485,1572,6/7/2018,south
486,1785,6/7/2018,east
487,1557,6/7/2018,west
488,1719,6/8/2018,north
489,1677,6/8/2018,south
490,1695,6/8/2018,east
491,1602,6/8/2018,west
492,1782,6/9/2018,north
493,1773,6/9/2018,south
494,1656,6/9/2018,east
495,1665,6/9/2018,west
496,1578,6/10/2018,north
497,1641,6/10/2018,south
498,1737,6/10/2018,east
499,1557,6/10/2018,west
500,1788,6/11/2018,north
501,1677,6/11/2018,south
502,1698,6/11/2018,east
503,1728,6/11/2018,west
504,1776,6/12/2018,north
505,1551,6/12/2018,south
506,1548,6/12/2018,east
507,1542,6/12/2018,west
508,1683,6/13/2018,north
509,1683,6/13/2018,south
510,1572,6/13/2018,east
511,1683,6/13/2018,west
512,1761,6/14/2018,north
513,1668,6/14/2018,south
514,1599,6/14/2018,east
515,1593,6/14/2018,west
516,1623,6/15/2018,north
517,1737,6/15/2018,south
518,1593,6/15/2018,east
519,1788,6/15/2018,west
520,1659,6/16/2018,north
521,1641,6/16/2018,south
522,1575,6/16/2018,east
523,1611,6/16/2018,west
524,1599,6/17/2018,north
525,1530,6/17/2018,south
526,1608,6/17/2018,east
527,1626,6/17/2018,west
528,1530,6/18/2018,north
529,1707,6/18/2018,south
530,1611,6/18/2018,east
531,1635,6/18/2018,west
532,1593,6/19/2018,north
533,1749,6/19/2018,south
534,1623,6/19/2018,east
535,1608,6/19/2018,west
536,1665,6/20/2018,north
537,1659,6/20/2018,south
538,1734,6/20/2018,east
539,1557,6/20/2018,west
540,1797,6/21/2018,north
541,1587,6/21/2018,south
542,1557,6/21/2018,east
543,1542,6/21/2018,west
544,1743,6/22/2018,north
545,1797,6/22/2018,south
546,1686,6/22/2018,east
547,1683,6/22/2018,west
548,1791,6/23/2018,north
549,1554,6/23/2018,south
550,1695,6/23/2018,east
